Muestra;Estacion;MuestraNew;X;Y;Z;Formacion Geologica;Unidad;Litologia;Abreviacion;Uni-Lito;Agua [%];Porosidad [%];Densidad [gr/cm3];Rho Dry [Ohm*m];Rho Wet [Ohm*m];M Dry [mV/V];M Wet [mV/V];Vp [m/s];Peak Load [kN];Is50 [MPa];LF [SI];HF [SI];FD [%];Distancia Falla [m];
LSS-67f;LSS-67;LSS-67f;1102197.82;1238038.33;1212.00;Fm. Rosablanca;K1r;biomicrita;Bm;K1r [Bm];1.68;0.10;2.56;18350.52;2489.72;3.62;5.38;4212.00;2.60;3.02;2.36E-04;2.11E-04;10.79;127.06;
LSS-67g;LSS-67;LSS-67g;1102197.82;1238038.33;1212.00;Fm. Rosablanca;K1r;biomicrita;Bm;K1r [Bm];2.15;0.50;2.69;4652.67;1840.47;3.10;5.74;5096.00;3.50;3.97;3.32E-04;3.20E-04;3.55;127.06;
LS6-14;LSS-68;LSS-68;1113826.28;1244500.01;1631.00;Fm. Jordan;J1-2j;arenisca;Ar;J1-2j [Ar];1.28;10.12;2.86;26583.43;756.03;6.06;15.55;3149.00;15.82;4.81;6.11E-05;6.50E-05;-6.37;87.10;
LSS-68a;LSS-68;LSS-68a;1103179.90;1237976.17;1301.00;Fm. Rosablanca;K1r;biomicrita;Bm;K1r [Bm];0.49;2.52;2.74;496176.16;7236.97;18.45;2.75;3918.00;4.20;4.77;2.86E-05;3.58E-05;-24.89;180.15;
LSS-68b;LSS-68;LSS-68b;1103179.90;1237976.17;1301.00;Fm. Rosablanca;K1r;biomicrita;Bm;K1r [Bm];0.82;7.39;2.85;1096692.68;9189.87;44.12;2.89;4811.00;3.10;3.46;2.21E-05;1.15E-06;94.80;180.15;
LSS-69;LSS-69;LSS-69;1104116.94;1238041.90;1365.00;Fm. Rosablanca;K1r;biomicrita;Bm;K1r [Bm];0.33;13.14;2.94;582745.72;6217.81;37.30;2.58;1607.00;4.40;4.90;3.14E-05;9.82E-06;68.78;237.47;
LSS-70a;LSS-70;LSS-70a;1104805.25;1239193.39;1368.00;Fm. Rosablanca;K1r;lodo calcareo;Lc;K1r [Lc];19.24;1.00;2.49;24075.02;221.22;7.67;9.41;4174.00;1.20;1.34;5.71E-05;1.52E-05;73.44;236.57;
LSS-70b;LSS-70;LSS-70b;1104805.25;1239193.39;1368.00;Fm. Rosablanca;K1r;lodo calcareo;Lc;K1r [Lc];16.71;1.35;2.48;17304.37;172.18;14.24;9.62;4233.00;0.70;0.39;5.72E-05;3.84E-05;32.77;236.57;
LSS-71a;LSS-71;LSS-71a;1105311.78;1239752.84;1322.00;Fm. Rosablanca;K1r;biomicrita;Bm;K1r [Bm];1.25;1.21;2.78;1466.66;605.34;4.04;6.40;4414.00;1.60;1.76;2.55E-04;2.21E-04;13.37;167.72;
LSS-71b;LSS-71;LSS-71b;1105311.78;1239752.84;1322.00;Fm. Rosablanca;K1r;biomicrita;Bm;K1r [Bm];1.89;2.14;2.76;950.74;352.46;4.49;7.91;3387.00;1.70;1.95;1.94E-04;1.90E-04;2.30;167.72;
