Muestra;Estacion;MuestraNew;X;Y;Z;Formacion Geologica;Unidad;Litologia;Abreviacion;Uni-Lito;Agua [%];Porosidad [%];Densidad [gr/cm3];Rho Dry [Ohm*m];Rho Wet [Ohm*m];M Dry [mV/V];M Wet [mV/V];Vp [m/s];Peak Load [kN];Is50 [MPa];LF [SI];HF [SI];FD [%];Distancia Falla [m];
Ls5-12;LSN-01;LSN-01;1114949.39;1246238.02;1745.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];6.39;10.98;2.66;81106.66;916.49;8.65;22.49;1059.00;1.32;0.41;1.47E-05;2.38E-05;-61.45;1579.23;
Ls5-13a;LSN-02;LSN-02a;1115819.32;1247030.08;1761.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];6.07;9.89;2.65;27840.54;816.88;9.65;21.16;1294.00;1.82;0.61;7.52E-06;3.03E-06;59.76;577.10;
Ls5-13b;LSN-02;LSN-02b;1115819.32;1247030.08;1761.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];6.76;7.84;2.61;18728.80;315.44;9.83;14.52;2550.00;0.52;0.33;2.12E-05;3.18E-05;-49.71;577.10;
Ls6-01;LSN-03;LSN-03;1115324.37;1256812.13;1677.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];4.07;7.24;2.64;1600804.29;497.95;47.46;7.52;3297.00;0.72;0.24;3.39E-06;1.66E-06;50.98;21.24;
Ls6-02;LSN-04;LSN-04;1115076.27;1257212.30;1608.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];0.68;20.17;2.76;14030.35;662.24;9.74;33.65;2175.00;0.42;0.13;2.14E-05;3.64E-05;-69.97;211.66;
Ls6-03;LSN-05;LSN-05;1114601.39;1257700.61;1523.00;Fm. Los Santos;K1ls_mi;arenisca;Ar;K1ls_mi [Ar];4.87;7.38;2.65;1773.65;163.71;13.72;13.94;3745.00;4.52;1.36;1.19E-05;8.04E-06;32.71;226.09;
Ls6-04a;LSN-06;LSN-06a;1115132.61;1257617.41;1443.00;Fm. Jordan;J1-2j;arenisca;Ar;J1-2j [Ar];2.30;8.64;2.64;514420.48;1354.95;17.02;10.78;2138.00;8.72;2.85;3.76E-06;4.36E-06;-15.79;447.67;
Ls6-04b;LSN-06;LSN-06b;1115132.61;1257617.41;1443.00;Fm. Jordan;J1-2j;arenisca;Ar;J1-2j [Ar];2.25;7.24;2.63;424014.55;1708.79;13.07;13.13;1607.00;10.02;3.21;8.17E-06;1.03E-05;-25.97;447.67;
Ls6-16-2;LSN-06;LSN-06c;1115132.61;1257617.41;1443.00;Fm. Jordan;J1-2j;arenisca;Ar;J1-2j [Ar];1.75;2.49;2.63;13364.01;395.97;6.91;9.08;2476.00;11.62;3.53;5.74E-06;7.90E-06;-37.51;447.67;
Ls6-05a;LSN-07;LSN-07a;1115089.35;1259669.04;1195.00;Granito de Pescadero;J1gp;granito;Gr;J1gp [Gr];5.71;6.45;2.68;21361.68;556.40;16.99;13.73;3475.00;0.42;0.18;1.08E-04;9.55E-05;11.97;777.10;
Ls6-05b;LSN-07;LSN-07b;1115089.35;1259669.04;1195.00;Granito de Pescadero;J1gp;granito;Gr;J1gp [Gr];5.23;5.10;2.65;10746.13;466.50;11.15;11.69;3443.00;1.52;0.63;4.65E-05;6.49E-05;-39.63;777.10;
Ls6-07a;LSN-08;LSN-08a;1117932.04;1257159.17;1335.00;Granito de Pescadero;J1gp;granito;Gr;J1gp [Gr];2.96;1.59;2.55;39274.21;990.86;8.76;5.69;4464.00;3.42;2.14;1.28E-04;1.24E-04;2.64;415.39;
Ls6-07b;LSN-08;LSN-08b;1117932.04;1257159.17;1335.00;Granito de Pescadero;J1gp;granito;Gr;J1gp [Gr];2.64;3.73;2.59;185999.77;2371.57;11.75;11.38;2691.00;6.52;2.23;1.14E-04;9.55E-05;15.85;415.39;
Ls6-08a;LSN-09;LSN-09a;1117352.24;1257070.44;1466.00;Granito de Pescadero;J1gp;granito;Gr;J1gp [Gr];1.15;1.24;2.59;92732.03;3674.43;8.87;7.49;2764.00;16.52;5.03;2.38E-04;2.65E-04;-11.23;968.88;
Ls6-08b;LSN-09;LSN-09b;1117352.24;1257070.44;1466.00;Granito de Pescadero;J1gp;granito;Gr;J1gp [Gr];1.13;1.19;2.59;95388.76;3943.40;11.63;9.15;3280.00;13.52;4.23;2.81E-04;2.99E-04;-6.34;968.88;
Ls6-09a;LSN-10;LSN-10a;1117031.75;1256359.59;1546.00;Silgara;Oss;metaarenisca;Ma;Oss [Ma];3.77;8.20;2.68;5955.15;1449.81;3.33;2.79;2969.00;2.82;1.25;1.36E-04;1.35E-04;0.86;505.42;
Ls6-09b;LSN-10;LSN-10b;1117031.75;1256359.59;1546.00;Silgara;Oss;metaarenisca;Ma;Oss [Ma];2.17;4.99;2.64;378354.84;1964.42;15.91;2.79;2893.00;2.52;1.58;1.94E-04;1.97E-04;-1.50;505.42;
Ls6-09c;LSN-10;LSN-10c;1117031.75;1256359.59;1546.00;Silgara;Oss;metaarenisca;Ma;Oss [Ma];11.10;5.92;2.63;1052003.40;5371.57;28.76;4.73;1823.00;2.02;0.87;1.16E-04;1.11E-04;3.95;505.42;
Ls6-10a;LSN-11;LSN-11a;1115978.30;1256522.04;1595.00;Fm. Los Santos;K1ls_mi;arenisca;Ar;K1ls_mi [Ar];2.71;5.47;2.63;1135279.79;1565.94;31.31;7.57;2330.00;13.02;4.60;5.49E-06;1.05E-05;-91.71;71.11;
Ls6-10b;LSN-11;LSN-11b;1115978.30;1256522.04;1595.00;Fm. Los Santos;K1ls_mi;arenisca;Ar;K1ls_mi [Ar];2.69;3.61;2.61;154014.84;822.71;7.30;6.06;1992.00;8.02;5.01;6.80E-06;4.26E-06;37.37;71.11;
Ls6-10c;LSN-11;LSN-11c;1115978.30;1256522.04;1595.00;Fm. Los Santos;K1ls_mi;arenisca;Ar;K1ls_mi [Ar];2.98;19.67;3.11;513938.96;1760.45;22.33;11.02;1878.00;10.22;3.15;9.51E-07;2.51E-07;73.59;71.11;
Ls6-16a;LSN-12;LSN-12a;1115350.15;1245772.74;1332.00;Silgara;Oss;esquisto;Es;Oss [Es];2.08;1.64;2.80;154.12;205.46;3.63;7.66;999.00;2.52;1.58;4.08E-02;4.10E-02;-0.55;1600.39;
Ls6-16b;LSN-12;LSN-12b;1115350.15;1245772.74;1332.00;Silgara;Oss;esquisto;Es;Oss [Es];1.77;1.04;2.80;755.21;235.02;3.25;7.51;5172.00;0.72;0.25;3.60E-02;3.64E-02;-1.19;1600.39;
Ls6-17a;LSN-13;LSN-13a;1116394.99;1246729.09;1423.00;Silgara;Oss;esquisto;Es;Oss [Es];2.70;3.62;2.77;3991.85;337.80;13.25;6.26;5191.00;1.92;0.63;1.46E-02;1.44E-02;1.42;590.57;
Ls6-17b;LSN-13;LSN-13b;1116394.99;1246729.09;1423.00;Silgara;Oss;esquisto;Es;Oss [Es];6.24;6.94;2.72;7265.90;205.23;10.41;7.52;1141.00;0.52;0.25;1.97E-04;1.88E-04;4.71;590.57;
Ls6-18;LSN-14;LSN-14;1115885.56;1247669.26;1600.00;Fm. Los Santos;K1ls_mi;conglomerado;Cg;K1ls_mi [Cg];3.10;4.76;2.64;52997.47;875.56;8.16;11.92;1523.00;5.32;1.64;3.88E-05;2.51E-05;35.47;48.51;
Ls6-19;LSN-15;LSN-15;1115415.29;1249359.05;1656.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];8.63;16.52;2.64;284470.00;423.59;11.86;7.51;1574.00;0.42;0.13;6.58E-06;1.92E-06;70.84;144.59;
Ls6-20;LSN-16;LSN-16;1109213.89;1259211.57;1571.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];7.83;10.99;2.64;811348.12;336.06;24.81;7.32;2004.00;1.52;0.46;5.32E-06;4.41E-06;17.09;105.37;
Ls6-21a;LSN-17;LSN-17a;1108151.94;1258793.79;1526.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];7.46;11.19;2.64;109009.52;314.29;13.37;17.71;3348.00;2.02;0.82;1.64E-05;3.67E-06;77.60;20.17;
Ls6-21b;LSN-17;LSN-17b;1108151.94;1258793.79;1526.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];8.55;9.12;2.64;35134.75;181.57;10.50;13.03;1707.00;1.42;0.65;3.27E-05;1.56E-05;52.37;20.17;
Ls6-22a;LSN-18;LSN-18a;1109258.15;1258826.80;1545.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];7.59;10.08;2.65;163010.98;329.54;14.65;10.72;2134.00;2.62;0.90;1.11E-05;9.54E-06;13.91;129.74;
Ls6-22b;LSN-18;LSN-18b;1109258.15;1258826.80;1545.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];7.85;8.37;2.60;69197.49;130.83;11.40;6.32;1831.00;2.52;0.57;1.11E-05;6.33E-06;42.89;129.74;
Ls6-23a;LSN-19;LSN-19a;1110025.20;1259463.75;1581.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];2.54;4.23;2.64;114405.27;1061.49;15.72;16.15;3295.00;11.52;3.70;5.58E-06;4.68E-06;16.00;863.16;
Ls6-23b;LSN-19;LSN-19b;1110025.20;1259463.75;1581.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];2.40;2.74;2.61;113779.79;1168.82;15.04;16.68;1823.00;10.72;3.74;4.02E-06;5.12E-06;-27.24;863.16;
Ls6-24;LSN-20;LSN-20;1111699.38;1259207.81;1584.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];2.48;7.15;2.65;12104.69;487.48;4.60;11.84;1463.00;7.32;2.23;2.25E-06;3.80E-06;-68.99;851.33;
Ls6-25;LSN-21;LSN-21;1112028.87;1256675.12;1611.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];5.67;10.72;2.64;775607.95;110.44;16.34;2.95;1747.00;3.72;1.13;7.44E-06;1.46E-06;80.41;333.67;
Ls6-26a;LSN-22;LSN-22a;1112361.89;1256109.06;1589.03;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];4.33;9.58;2.63;645172.88;300.56;5.92;2.71;1798.00;4.32;2.69;2.22E-06;2.25E-06;-1.29;102.00;
Ls6-26b;LSN-22;LSN-22b;1112361.89;1256109.06;1589.03;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];2.25;10.88;2.61;702955.82;258.12;6.67;2.95;2930.00;3.32;2.07;4.27E-06;2.01E-06;52.95;102.00;
Ls6-26c;LSN-22;LSN-22c;1112361.89;1256109.06;1589.03;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];10.37;10.74;2.62;1025529.03;797.73;23.02;1.93;2937.00;4.32;1.32;4.23E-06;2.40E-06;43.22;102.00;
Ls6-27;LSN-23;LSN-23;1110535.96;1253188.04;1633.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];3.42;6.88;2.66;248674.20;1879.81;14.54;13.18;2139.00;7.22;2.24;5.15E-06;7.15E-06;-38.97;107.45;
Ls6-28;LSN-24;LSN-24;1109880.50;1252594.78;1590.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];11.43;18.96;2.66;481460.77;125.98;16.52;9.05;1880.00;0.22;0.09;1.65E-05;2.87E-06;82.64;574.99;
Ls6-29;LSN-25;LSN-25;1108385.44;1252522.79;1383.00;Fm. Jordan;J1-2j;arenisca;Ar;J1-2j [Ar];2.89;4.27;2.64;146491.07;1122.32;11.56;12.35;3138.00;8.52;2.92;4.52E-06;2.64E-07;94.15;953.90;
Ls6-30a;LSN-26;LSN-26a;1107487.32;1253319.25;1457.00;Fm. Jordan;J1-2j;arenisca;Ar;J1-2j [Ar];3.36;6.85;2.61;932321.51;2418.12;29.82;5.56;4209.00;11.72;3.60;3.21E-05;2.62E-05;18.12;461.24;
Ls6-30b;LSN-26;LSN-26b;1107487.32;1253319.25;1457.00;Fm. Jordan;J1-2j;arenisca;Ar;J1-2j [Ar];4.46;10.63;2.60;79011.88;685.14;11.77;11.16;2206.00;3.62;2.24;1.71E-05;1.65E-05;3.64;461.24;
Ls6-31;LSN-27;LSN-27;1107387.49;1254053.50;1278.00;Fm. Jordan;J1-2j;arenisca;Ar;J1-2j [Ar];4.75;9.03;2.65;5127.65;174.45;1.85;11.31;3394.00;0.02;0.01;1.45E-05;3.21E-06;77.91;105.95;
Ls7-01;LSN-28;LSN-28;1107997.27;1251996.17;1239.00;Fm. Jordan;J1-2j;arenisca;Ar;J1-2j [Ar];3.66;3.94;2.64;47883.38;499.37;3.62;13.49;2573.00;9.32;2.87;7.57E-06;4.39E-06;42.01;711.47;
Ls7-02;LSN-29;LSN-29;1106396.09;1253228.59;1019.00;Fm. Jordan;J1-2j;lodolita;Ld;J1-2j [Ld];1.43;0.35;2.65;923.23;347.97;1.63;3.51;4159.00;24.52;7.54;4.06E-04;4.08E-04;-0.38;323.77;
Ls7-03;LSN-30;LSN-30;1106682.22;1252596.31;1038.00;Fm. Jordan;J1-2j;lodolita;Ld;J1-2j [Ld];2.41;0.33;2.65;636.82;230.89;1.91;4.45;2779.00;10.22;6.41;3.12E-04;2.77E-04;11.28;284.06;
Ls7-04;LSN-31;LSN-31;1106881.53;1252072.45;1102.00;Fm. Jordan;J1-2j;lodolita;Ld;J1-2j [Ld];0.46;0.25;2.67;928.44;496.63;1.89;3.71;1089.00;17.02;7.63;2.73E-04;2.57E-04;6.00;641.81;
Ls7-05a;LSN-32;LSN-32a;1108246.64;1250919.31;1169.00;Fm. Jordan;J1-2j;arenisca;Ar;J1-2j [Ar];4.19;6.48;2.65;87402.75;789.43;10.79;17.57;1294.00;6.12;1.90;3.14E-05;3.96E-05;-26.16;240.21;
Ls7-05b;LSN-32;LSN-32b;1108246.64;1250919.31;1169.00;Fm. Jordan;J1-2j;arenisca;Ar;J1-2j [Ar];3.89;3.82;2.59;71522.58;472.80;10.35;9.60;1139.00;4.52;2.81;1.84E-05;2.70E-05;-46.60;240.21;
Ls7-06;LSN-33;LSN-33;1108668.83;1250282.58;1327.00;Fm. Jordan;J1-2j;lodolita;Ld;J1-2j [Ld];1.08;0.42;2.62;740.53;314.09;2.95;4.70;3881.00;15.62;5.79;1.53E-04;1.45E-04;4.90;253.73;
Ls7-07;LSN-34;LSN-34;1107592.39;1250955.82;1111.00;Fm. Jordan;J1-2j;arenisca;Ar;J1-2j [Ar];1.79;4.37;2.65;1799.11;66.02;1.69;5.60;2451.00;7.62;2.33;2.23E-06;1.13E-06;49.44;116.25;
Ls7-08;LSN-35;LSN-35;1106540.62;1250850.90;1173.00;Fm. Jordan;J1-2j;lodolita;Ld;J1-2j [Ld];1.68;2.10;2.61;115.86;80.25;3.39;4.35;2233.00;2.72;1.76;2.52E-04;2.30E-04;8.65;307.58;
Ls7-09;LSN-36;LSN-36;1105616.34;1250458.87;1289.00;Fm. Los Santos;K1ls_mi;conglomerado;Cg;K1ls_mi [Cg];4.86;7.83;2.64;320030.27;1958.78;20.28;12.96;2341.00;4.12;1.24;2.97E-05;3.00E-05;-0.76;0.81;
Ls7-10;LSN-37;LSN-37;1104484.19;1250316.36;1281.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];4.21;5.97;2.64;536152.90;1653.22;19.27;14.45;1399.00;3.92;1.21;9.70E-07;5.53E-07;43.05;305.26;
Ls7-11;LSN-38;LSN-38;1103397.64;1250082.58;1158.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];3.30;5.73;2.64;192614.79;1016.73;15.66;13.15;2787.00;6.92;2.14;2.01E-05;2.25E-05;-12.11;37.14;
Ls7-12;LSN-39;LSN-39;1102661.78;1250539.55;1090.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];2.36;3.67;2.59;44419.84;2295.7;4.81;7.66;4686.00;23.62;9.63;4.62E-06;1.16E-06;74.85;298.84;
Ls7-13;LSN-40;LSN-40;1102168.63;1250573.14;1015.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];1.01;2.97;2.64;1041042.16;2717.31;28.12;12.91;2588.00;16.42;5.59;4.26E-06;3.82E-06;10.35;257.66;
Ls7-14;LSN-41;LSN-41;1104077.83;1249877.14;1244.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];6.51;10.54;2.65;277874.26;761.68;14.69;14.63;1046.00;15.32;5.21;1.25E-05;5.23E-06;58.31;111.59;
Ls7-15;LSN-42;LSN-42;1105020.14;1249999.08;1330.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];7.30;14.50;2.65;361473.23;49.64;18.27;4.45;3034.00;0.92;0.28;2.64E-07;2.02E-07;23.63;3.87;
Ls7-16a;LSN-43;LSN-43a;1106020.00;1249619.36;1485.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];6.41;13.02;2.66;428071.70;2685.50;21.31;18.67;3709.00;1.32;0.42;2.30E-05;1.76E-05;23.69;715.05;
Ls7-16b;LSN-43;LSN-43b;1106020.00;1249619.36;1485.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];6.19;13.26;2.65;498019.13;2540.59;20.69;17.73;3107.00;1.62;0.53;2.21E-05;7.15E-06;67.59;715.05;
Ls7-17a;LSN-44;LSN-44a;1107507.64;1249355.17;1604.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];6.25;9.41;2.64;11310.03;112.70;1.72;2.97;1067.00;3.32;1.21;3.42E-06;5.41E-06;-58.12;148.99;
Ls7-17b;LSN-44;LSN-44b;1107507.64;1249355.17;1604.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];7.09;12.46;2.62;57.67;141.40;9.89;3.61;2827.00;0.92;0.57;5.83E-06;1.03E-05;-76.76;148.99;
Ls7-19;LSN-45;LSN-45;1102322.29;1248526.51;1002.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];3.04;6.35;2.63;19852.07;544.09;2.98;10.20;1974.00;10.12;3.10;3.27E-06;5.02E-06;-53.35;90.96;
Ls7-20;LSN-46;LSN-46;1103064.26;1248715.60;1012.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];3.39;5.42;2.61;1077009.00;4270.46;36.59;12.83;4715.00;10.12;3.28;5.29E-05;6.33E-05;-19.57;400.34;
Ls7-21a;LSN-47;LSN-47a;1104009.50;1248612.11;1151.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];3.30;6.17;2.64;234628.57;768.71;12.16;10.02;4010.00;5.12;1.54;5.20E-07;1.35E-07;74.04;507.91;
Ls7-21b;LSN-47;LSN-47b;1104009.50;1248612.11;1151.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];3.68;5.70;2.62;206052.50;891.79;14.26;11.07;3423.00;4.92;1.69;3.83E-06;5.72E-06;-49.52;507.91;
Ls7-21c;LSN-47;LSN-47c;1104009.50;1248612.11;1151.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];3.53;4.84;2.61;175617.26;338.04;12.95;4.72;3499.00;2.62;1.64;1.32E-05;5.34E-06;59.58;507.91;
Ls7-22;LSN-48;LSN-48;1103688.14;1249293.04;1141.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];2.25;4.19;2.63;115371.92;1694.64;10.47;17.26;2066.00;11.72;3.61;6.89E-06;3.31E-06;51.90;475.38;
Ls8-01a;LSN-49;LSN-49a;1112917.93;1251300.51;1673.00;Fm. Los Santos;K1ls_mm;lodolita;Ld;K1ls_mm [Ld];3.06;5.65;2.27;14123.72;437.16;21.79;5.48;1411.00;0.52;0.33;1.59E-04;1.72E-04;-8.67;649.44;
Ls8-01b;LSN-49;LSN-49b;1112917.93;1251300.51;1673.00;Fm. Los Santos;K1ls_mm;lodolita;Ld;K1ls_mm [Ld];2.75;7.25;2.45;1453.16;121.88;5.66;8.29;939.00;0.02;0.01;1.22E-04;1.09E-04;11.06;649.44;
LSN-49c;LSN-49;LSN-49c;1112917.93;1251300.51;1673.00;Fm. Los Santos;K1ls_mm;lodolita;Ld;K1ls_mm [Ld];5.63;0.83;2.12;2982.48;415.53;5.58;5.42;1304.00;0.20;0.18;1.02E-04;9.68E-05;5.19;649.44;
LSN-49d;LSN-49;LSN-49d;1112917.93;1251300.51;1673.00;Fm. Los Santos;K1ls_mm;lodolita;Ld;K1ls_mm [Ld];4.19;1.07;2.11;4467.93;944.58;4.70;6.05;957.00;0.10;0.10;1.21E-04;1.09E-04;10.35;649.44;
LSN-49e;LSN-49;LSN-49e;1112917.93;1251300.51;1673.00;Fm. Los Santos;K1ls_mm;lodolita;Ld;K1ls_mm [Ld];3.66;1.17;2.18;1626.49;507.60;5.39;5.34;735.00;0.10;0.16;1.11E-04;8.88E-05;20.04;649.44;
LSN-49f;LSN-49;LSN-49f;1112917.93;1251300.51;1673.00;Fm. Los Santos;K1ls_mm;lodolita;Ld;K1ls_mm [Ld];6.74;0.94;2.33;1520.16;447.18;4.62;5.95;797.00;0.10;0.15;1.68E-04;1.56E-04;7.14;649.44;
Ls8-02a;LSN-50;LSN-50a;1113097.21;1252772.15;1644.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];8.11;10.76;2.64;17529.51;121.16;5.96;8.35;2838.00;0.62;0.39;4.31E-05;5.77E-05;-33.87;269.21;
Ls8-02b;LSN-50;LSN-50b;1113097.21;1252772.15;1644.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];5.53;9.81;2.65;42538.67;138.47;12.43;8.77;2745.00;0.92;0.37;2.77E-05;3.23E-05;-16.71;269.21;
Ls8-02c;LSN-50;LSN-50c;1113097.21;1252772.15;1685.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];5.21;5.43;2.67;68616.08;906.56;17.67;20.10;1061.00;3.72;1.16;5.48E-05;5.04E-05;7.95;269.21;
Ls8-03;LSN-51;LSN-51;1114050.20;1256321.70;1642.01;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];7.17;15.23;2.65;671695.67;87.45;12.38;3.06;1113.00;2.02;0.62;3.89E-06;2.47E-06;36.62;380.96;
Ls8-04a;LSN-52;LSN-52a;1116592.86;1253267.49;1743.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];3.29;5.90;2.65;161706.46;1376.49;9.01;16.81;2443.00;8.62;2.61;4.18E-06;1.13E-06;72.85;28.95;
Ls8-04b;LSN-52;LSN-52b;1116592.86;1253267.49;1743.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];3.03;4.65;2.65;617052.13;2235.58;17.23;18.60;2591.00;9.82;3.22;4.22E-06;1.60E-06;62.20;28.95;
Ls8-05;LSN-53;LSN-53;1115358.82;1252687.88;1705.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];6.16;11.04;2.65;1782697.05;880.79;49.55;13.84;1571.00;2.42;0.74;3.58E-06;6.69E-06;-86.89;740.06;
Ls8-06a;LSN-54;LSN-54a;1109824.55;1247890.39;1659.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];6.13;25.21;2.61;28921.27;100.42;6.06;6.77;2560.00;1.32;0.82;7.29E-06;5.33E-07;92.69;1255.53;
Ls8-06b;LSN-54;LSN-54b;1109824.55;1247890.39;1659.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];6.87;9.25;2.64;85990.64;264.56;8.54;10.13;1935.00;2.72;0.94;4.64E-06;1.09E-06;76.59;1255.53;
Ls8-07;LSN-55;LSN-55;1108795.82;1247734.55;1636.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];6.07;13.53;2.64;4680623.90;186.63;185.44;2.54;2424.00;2.22;0.67;2.38E-06;1.90E-06;20.03;933.96;
LSN-56;LSN-56;LSN-56;1111580.38;1259976.68;1266.00;Fm. Jordan;J1-2j;conglomerado;Cg;J1-2j [Cg];4.95;1.41;2.46;6454.13;501.37;4.27;9.56;3279.00;1.10;1.22;2.22E-05;3.63E-06;83.66;1628.54;
LSN-57;LSN-57;LSN-57;1112365.69;1259982.90;1233.00;Fm. Jordan;J1-2j;conglomerado;Cg;J1-2j [Cg];5.09;3.66;2.47;2807.57;303.11;3.60;7.68;4656.00;0.30;0.35;5.62E-05;4.83E-05;14.08;1402.59;
LSN-58a;LSN-58;LSN-58a;1112406.72;1259777.38;1263.00;Fm. Jordan;J1-2j;conglomerado;Cg;J1-2j [Cg];4.14;17.16;3.07;12000.69;624.07;5.48;13.09;3556.00;2.20;2.49;3.66E-05;1.26E-05;65.62;1194.08;
LSN-58b;LSN-58;LSN-58b;1112406.72;1259777.38;1263.00;Fm. Jordan;J1-2j;conglomerado;Cg;J1-2j [Cg];2.92;19.27;3.06;19741.49;828.74;5.08;12.95;3472.00;2.40;2.73;1.64E-05;2.28E-05;-39.00;1194.08;
LSN-58c;LSN-58;LSN-58c;1112406.72;1259777.38;1263.00;Fm. Jordan;J1-2j;conglomerado;Cg;J1-2j [Cg];3.58;19.77;3.03;9250.34;698.90;4.22;13.76;3586.00;2.02;2.28;3.27E-05;1.60E-05;50.87;1194.08;
LSN-59a;LSN-59;LSN-59a;1108837.49;1259914.55;1296.00;Fm. Los Santos;K1ls_mi;conglomerado;Cg;K1ls_mi [Cg];5.63;2.45;2.52;13144.13;1265.88;4.36;13.11;3681.00;1.72;1.99;3.89E-05;2.70E-05;30.60;61.04;
LSN-59b;LSN-59;LSN-59b;1108837.49;1259914.55;1296.00;Fm. Los Santos;K1ls_mi;conglomerado;Cg;K1ls_mi [Cg];6.35;2.53;2.36;12213.72;624.16;4.73;9.33;2322.00;1.32;1.51;1.98E-05;1.69E-05;14.59;61.04;
LSN-59c;LSN-59;LSN-59c;1108837.49;1259914.55;1296.00;Fm. Los Santos;K1ls_mi;conglomerado;Cg;K1ls_mi [Cg];5.97;1.74;2.41;13268.77;986.48;4.69;12.71;3422.00;1.22;1.39;2.62E-05;2.37E-05;9.57;61.04;
LSN-59d;LSN-59;LSN-59d;1108837.49;1259914.55;1296.00;Fm. Jordan;J1-2j;conglomerado;Cg;J1-2j [Cg];4.01;0.56;2.49;13955.82;1697.27;4.62;8.90;4070.00;1.12;1.26;3.96E-05;2.52E-05;36.22;61.04;
LSN-59e;LSN-59;LSN-59e;1108837.49;1259914.55;1296.00;Fm. Jordan;J1-2j;conglomerado;Cg;J1-2j [Cg];0.46;3.51;2.76;10495.07;1495.01;4.27;9.19;2157.00;1.62;1.84;3.44E-05;3.80E-05;-10.64;61.04;
LSN-59f;LSN-59;LSN-59f;1108837.49;1259914.55;1296.00;Fm. Jordan;J1-2j;conglomerado;Cg;J1-2j [Cg];4.48;1.22;2.35;14730.87;1568.53;4.49;12.99;1839.00;0.62;0.70;3.40E-05;1.80E-05;47.03;61.04;
LSN-59g;LSN-59;LSN-59g;1108837.49;1259914.55;1296.00;Fm. Jordan;J1-2j;conglomerado;Cg;J1-2j [Cg];4.56;2.14;2.36;19993.77;1959.83;4.92;12.74;1562.00;0.42;0.48;3.10E-05;1.88E-05;39.48;61.04;
