Linea;Arreglo;X;Y;Z;Resistivity
TRE02;DipoloDipolo;1387,25;1656,02;53,36;6,42
TRE02;DipoloDipolo;1453,33;1745,58;52,94;6,91
TRE02;DipoloDipolo;1364,27;1624,87;53,01;9,44
TRE02;DipoloDipolo;1312,55;1554,78;48,45;12,43
TRE02;DipoloDipolo;1220,61;1430,17;68,28;13,9
TRE02;DipoloDipolo;1209,12;1414,59;68,64;26,25
TRE02;DipoloDipolo;1335,54;1585,93;64,73;34,94
TRE02;DipoloDipolo;1347,03;1601,5;64,78;41,49
TRE02;DipoloDipolo;1381,5;1648,23;53,06;8,33
TRE02;DipoloDipolo;1364,27;1624,87;64,9;37,64
TRE02;DipoloDipolo;1358,52;1617,08;64,95;35,33
TRE02;DipoloDipolo;1341,28;1593,72;64,76;29,43
TRE02;DipoloDipolo;1510,79;1823,46;53,46;6,92
TRE02;DipoloDipolo;1370,01;1632,66;64,9;51,59
TRE02;DipoloDipolo;1381,5;1648,23;64,94;57,8
TRE02;DipoloDipolo;1464,82;1761,16;64,77;8,54
TRE02;DipoloDipolo;1393,0;1663,81;65,78;12,08
TRE02;DipoloDipolo;1398,74;1671,6;65,89;10,11
TRE02;DipoloDipolo;1404,49;1679,38;65,37;9,2
TRE02;DipoloDipolo;1410,23;1687,17;64,54;13,18
TRE02;DipoloDipolo;1415,98;1694,96;64,39;8,5
TRE02;DipoloDipolo;1421,73;1702,75;64,49;8,5
TRE02;DipoloDipolo;1430,35;1714,43;64,76;8,06
TRE02;DipoloDipolo;1441,84;1730,01;64,96;7,52
TRE02;DipoloDipolo;1387,25;1656,02;65,31;30,8
TRE02;DipoloDipolo;1453,33;1745,58;64,7;9,07
TRE02;DipoloDipolo;1131,55;1309,45;73,58;21,35
TRE02;DipoloDipolo;1487,81;1792,31;65,07;12,99
TRE02;DipoloDipolo;1499,3;1807,89;65,25;16,5
TRE02;DipoloDipolo;1510,79;1823,46;65,29;23,75
TRE02;DipoloDipolo;1522,28;1839,04;65,28;23,41
TRE02;DipoloDipolo;1533,78;1854,61;65,5;11,7
TRE02;DipoloDipolo;1097,07;1262,72;64,76;12,02
TRE02;DipoloDipolo;1108,57;1278,3;70,08;9,93
TRE02;DipoloDipolo;1120,06;1293,88;73,77;22,64
TRE02;DipoloDipolo;1476,31;1776,73;64,96;10,76
TRE02;DipoloDipolo;1243,6;1461,32;70,37;16,89
TRE02;DipoloDipolo;1324,04;1570,35;64,81;32,7
TRE02;DipoloDipolo;1306,81;1546,99;48,18;20,62
TRE02;DipoloDipolo;1203,38;1406,8;79,85;31,89
TRE02;DipoloDipolo;1108,57;1278,3;74,92;34,95
TRE02;DipoloDipolo;1120,06;1293,88;79,38;5,13
TRE02;DipoloDipolo;1131,55;1309,45;79,12;8,18
TRE02;DipoloDipolo;1143,04;1325,03;75,5;102,97
TRE02;DipoloDipolo;1154,53;1340,6;73,56;676,93
TRE02;DipoloDipolo;1166,03;1356,18;75,18;332,48
TRE02;DipoloDipolo;1177,52;1371,76;77,22;80,15
TRE02;DipoloDipolo;1189,01;1387,33;78,86;29,16
TRE02;DipoloDipolo;1097,07;1262,72;68,79;44,71
TRE02;DipoloDipolo;1197,63;1399,02;79,46;22,57
TRE02;DipoloDipolo;1312,55;1554,78;65,3;218,44
TRE02;DipoloDipolo;1214,87;1422,38;80,46;50,37
TRE02;DipoloDipolo;1220,61;1430,17;79,72;63,66
TRE02;DipoloDipolo;1226,36;1437,96;77,64;53,07
TRE02;DipoloDipolo;1232,11;1445,74;74,77;111,87
TRE02;DipoloDipolo;1237,85;1453,53;72,3;44,75
TRE02;DipoloDipolo;1249,34;1469,11;68,75;12,86
TRE02;DipoloDipolo;1255,09;1476,9;67,75;8,65
TRE02;DipoloDipolo;1312,55;1554,78;23,88;9,86
TRE02;DipoloDipolo;1209,12;1414,59;80,41;57,61
TRE02;Gradiente;1387,25;1656,02;-19,43;14,5
TRE02;DipoloDipolo;1283,82;1515,84;23,36;8,05
TRE02;DipoloDipolo;1278,08;1508,05;30,15;8,9
TRE02;DipoloDipolo;1295,31;1531,41;65,23;7,48
TRE02;DipoloDipolo;1301,06;1539,2;64,98;6,9
TRE02;DipoloDipolo;1306,81;1546,99;64,93;72,12
TRE02;DipoloDipolo;1318,3;1562,56;65,23;17,25
TRE02;DipoloDipolo;1143,04;1325,03;70,64;18,21
TRE02;DipoloDipolo;1154,53;1340,6;69,03;8,5
TRE02;DipoloDipolo;1166,03;1356,18;70,42;61,79
TRE02;DipoloDipolo;1381,5;1648,23;61,35;5,87
TRE02;DipoloDipolo;1387,25;1656,02;61,7;5,16
TRE02;DipoloDipolo;1393,0;1663,81;62,13;12,78
TRE02;DipoloDipolo;1398,74;1671,6;62,24;10,89
TRE02;DipoloDipolo;1404,49;1679,38;61,76;10,04
TRE02;DipoloDipolo;1410,23;1687,17;60,99;7,86
TRE02;DipoloDipolo;1415,98;1694,96;60,85;8,85
TRE02;DipoloDipolo;1421,73;1702,75;60,94;7,82
TRE02;DipoloDipolo;1430,35;1714,43;61,2;7,81
TRE02;DipoloDipolo;1441,84;1730,01;61,39;7,48
TRE02;DipoloDipolo;1453,33;1745,58;61,15;10,29
TRE02;DipoloDipolo;1464,82;1761,16;61,22;12,82
TRE02;DipoloDipolo;1476,31;1776,73;61,4;13,51
TRE02;DipoloDipolo;1487,81;1792,31;61,51;12,69
TRE02;DipoloDipolo;1209,12;1414,59;74,65;53,12
TRE02;DipoloDipolo;1214,87;1422,38;74,69;84,22
TRE02;DipoloDipolo;1522,28;1839,04;61,71;11,52
TRE02;DipoloDipolo;1533,78;1854,61;61,92;11,49
TRE02;DipoloDipolo;1097,07;1262,72;60,37;3,54
TRE02;DipoloDipolo;1108,57;1278,3;64,91;4,6
TRE02;DipoloDipolo;1120,06;1293,88;67,9;19,75
TRE02;DipoloDipolo;1131,55;1309,45;67,77;12,83
TRE02;DipoloDipolo;1143,04;1325,03;65,44;5,0
TRE02;DipoloDipolo;1154,53;1340,6;64,15;5,35
TRE02;DipoloDipolo;1166,03;1356,18;65,32;7,87
TRE02;DipoloDipolo;1177,52;1371,76;66,7;23,1
TRE02;DipoloDipolo;1499,3;1807,89;61,68;16,37
TRE02;DipoloDipolo;1197,63;1399,02;68,11;44,67
TRE02;DipoloDipolo;1203,38;1406,8;68,33;35,97
TRE02;DipoloDipolo;1375,76;1640,44;61,27;17,02
TRE02;DipoloDipolo;1370,01;1632,66;61,31;29,24
TRE02;DipoloDipolo;1364,27;1624,87;61,3;43,29
TRE02;DipoloDipolo;1358,52;1617,08;61,35;25,4
TRE02;DipoloDipolo;1177,52;1371,76;72,12;68,82
TRE02;DipoloDipolo;1189,01;1387,33;73,44;40,57
TRE02;DipoloDipolo;1197,63;1399,02;73,92;43,35
TRE02;DipoloDipolo;1203,38;1406,8;74,22;40,07
TRE02;DipoloDipolo;1510,79;1823,46;61,72;15,74
TRE02;DipoloDipolo;1189,01;1387,33;67,74;42,74
TRE02;DipoloDipolo;1220,61;1430,17;74,13;114,71
TRE02;DipoloDipolo;1381,5;1648,23;30,89;6,86
TRE02;DipoloDipolo;1232,11;1445,74;70,1;36,12
TRE02;DipoloDipolo;1237,85;1453,53;67,97;3,67
TRE02;DipoloDipolo;1243,6;1461,32;66,26;6,62
TRE02;DipoloDipolo;1249,34;1469,11;64,81;5,29
TRE02;DipoloDipolo;1255,09;1476,9;63,9;10,82
TRE02;DipoloDipolo;1260,84;1484,68;62,98;9,1
TRE02;DipoloDipolo;1214,87;1422,38;68,68;19,18
TRE02;DipoloDipolo;1266,58;1492,47;61,63;5,56
TRE02;DipoloDipolo;1278,08;1508,05;60,35;5,37
TRE02;DipoloDipolo;1283,82;1515,84;60,66;6,85
TRE02;DipoloDipolo;1289,57;1523,62;61,33;13,12
TRE02;DipoloDipolo;1295,31;1531,41;61,59;25,48
TRE02;DipoloDipolo;1301,06;1539,2;61,36;25,36
TRE02;DipoloDipolo;1306,81;1546,99;61,32;2,63
TRE02;DipoloDipolo;1312,55;1554,78;61,66;10,37
TRE02;DipoloDipolo;1318,3;1562,56;61,6;22,83
TRE02;DipoloDipolo;1324,04;1570,35;61,21;261,38
TRE02;DipoloDipolo;1329,79;1578,14;61,18;104,38
TRE02;DipoloDipolo;1335,54;1585,93;61,14;56,78
TRE02;DipoloDipolo;1341,28;1593,72;61,17;66,63
TRE02;DipoloDipolo;1347,03;1601,5;61,19;85,77
TRE02;DipoloDipolo;1464,82;1761,16;30,99;8,01
TRE02;DipoloDipolo;1226,36;1437,96;72,49;100,78
TRE02;DipoloDipolo;1301,06;1539,2;16,0;8,27
TRE02;DipoloDipolo;1318,3;1562,56;48,41;10,76
TRE02;DipoloDipolo;1329,79;1578,14;48,1;3,26
TRE02;DipoloDipolo;1341,28;1593,72;30,72;7,32
TRE02;DipoloDipolo;1347,03;1601,5;30,74;6,69
TRE02;DipoloDipolo;1352,77;1609,29;30,78;5,44
TRE02;DipoloDipolo;1358,52;1617,08;30,85;5,36
TRE02;DipoloDipolo;1364,27;1624,87;30,84;5,41
TRE02;DipoloDipolo;1370,01;1632,66;30,85;6,04
TRE02;DipoloDipolo;1375,76;1640,44;30,84;6,82
TRE02;DipoloDipolo;1352,77;1609,29;61,24;33,18
TRE02;DipoloDipolo;1387,25;1656,02;31,09;6,79
TRE02;DipoloDipolo;1393,0;1663,81;31,33;6,81
TRE02;DipoloDipolo;1398,74;1671,6;31,39;7,12
TRE02;DipoloDipolo;1404,49;1679,38;31,15;7,41
TRE02;DipoloDipolo;1410,23;1687,17;30,76;7,69
TRE02;DipoloDipolo;1415,98;1694,96;30,69;7,83
TRE02;DipoloDipolo;1421,73;1702,75;30,76;7,87
TRE02;DipoloDipolo;1430,35;1714,43;30,91;8,12
TRE02;DipoloDipolo;1441,84;1730,01;31,03;8,44
TRE02;DipoloDipolo;1453,33;1745,58;30,93;8,36
TRE02;DipoloDipolo;1272,33;1500,26;60,62;4,34
TRE02;DipoloDipolo;1283,82;1515,84;64,23;7,75
TRE02;DipoloDipolo;1289,57;1523,62;64,95;6,52
TRE02;DipoloDipolo;1499,3;1807,89;31,3;6,41
TRE02;DipoloDipolo;1131,55;1309,45;26,01;13,69
TRE02;DipoloDipolo;1143,04;1325,03;25,94;13,26
TRE02;DipoloDipolo;1154,53;1340,6;25,86;13,03
TRE02;DipoloDipolo;1166,03;1356,18;26,1;12,84
TRE02;DipoloDipolo;1177,52;1371,76;26,28;10,69
TRE02;DipoloDipolo;1189,01;1387,33;26,31;7,8
TRE02;DipoloDipolo;1197,63;1399,02;26,32;7,22
TRE02;DipoloDipolo;1335,54;1585,93;30,69;7,41
TRE02;DipoloDipolo;1203,38;1406,8;26,3;7,12
TRE02;DipoloDipolo;1329,79;1578,14;30,7;7,62
TRE02;DipoloDipolo;1318,3;1562,56;30,9;10,09
TRE02;DipoloDipolo;1499,3;1807,89;37,65;6,12
TRE02;DipoloDipolo;1510,79;1823,46;37,69;6,37
TRE02;DipoloDipolo;1131,55;1309,45;33,97;10,9
TRE02;DipoloDipolo;1143,04;1325,03;33,7;10,75
TRE02;DipoloDipolo;1154,53;1340,6;33,51;10,63
TRE02;DipoloDipolo;1166,03;1356,18;33,85;10,63
TRE02;DipoloDipolo;1177,52;1371,76;34,14;8,76
TRE02;DipoloDipolo;1189,01;1387,33;34,26;6,61
TRE02;DipoloDipolo;1197,63;1399,02;34,29;6,58
TRE02;DipoloDipolo;1203,38;1406,8;34,29;6,57
TRE02;DipoloDipolo;1430,35;1714,43;23,94;9,36
TRE02;DipoloDipolo;1441,84;1730,01;24,06;10,16
TRE02;DipoloDipolo;1220,61;1430,17;34,37;5,13
TRE02;DipoloDipolo;1226,36;1437,96;34,34;4,65
TRE02;DipoloDipolo;1232,11;1445,74;33,99;4,28
TRE02;DipoloDipolo;1237,85;1453,53;33,44;4,82
TRE02;DipoloDipolo;1243,6;1461,32;32,85;15,64
TRE02;DipoloDipolo;1249,34;1469,11;32,27;16,2
TRE02;DipoloDipolo;1255,09;1476,9;31,88;15,99
TRE02;DipoloDipolo;1260,84;1484,68;31,46;9,4
TRE02;DipoloDipolo;1266,58;1492,47;30,8;8,61
TRE02;DipoloDipolo;1272,33;1500,26;30,29;8,78
TRE02;DipoloDipolo;1209,12;1414,59;34,28;6,52
TRE02;DipoloDipolo;1283,82;1515,84;30,33;8,29
TRE02;DipoloDipolo;1289,57;1523,62;30,7;7,81
TRE02;DipoloDipolo;1295,31;1531,41;30,85;7,81
TRE02;DipoloDipolo;1301,06;1539,2;30,74;8,77
TRE02;DipoloDipolo;1306,81;1546,99;30,73;10,61
TRE02;DipoloDipolo;1312,55;1554,78;30,92;10,64
TRE02;DipoloDipolo;1324,04;1570,35;30,7;8,38
TRE02;DipoloDipolo;1209,12;1414,59;26,27;6,98
TRE02;DipoloDipolo;1214,87;1422,38;26,29;6,83
TRE02;DipoloDipolo;1220,61;1430,17;26,39;6,68
TRE02;DipoloDipolo;1214,87;1422,38;34,3;6,04
TRE02;DipoloDipolo;1476,31;1776,73;31,11;7,12
TRE02;DipoloDipolo;1453,33;1745,58;23,97;10,25
TRE02;DipoloDipolo;1255,09;1476,9;24,66;17,54
TRE02;DipoloDipolo;1476,31;1776,73;24,14;8,77
TRE02;DipoloDipolo;1487,81;1792,31;24,22;7,6
TRE02;DipoloDipolo;1499,3;1807,89;24,32;7,58
TRE02;DipoloDipolo;1143,04;1325,03;17,57;14,96
TRE02;DipoloDipolo;1154,53;1340,6;17,58;14,88
TRE02;DipoloDipolo;1166,03;1356,18;17,75;14,83
TRE02;DipoloDipolo;1177,52;1371,76;17,83;13,36
TRE02;DipoloDipolo;1189,01;1387,33;17,81;10,81
TRE02;DipoloDipolo;1197,63;1399,02;17,81;10,06
TRE02;DipoloDipolo;1203,38;1406,8;17,79;9,97
TRE02;DipoloDipolo;1209,12;1414,59;17,75;9,9
TRE02;DipoloDipolo;1214,87;1422,38;17,77;9,84
TRE02;DipoloDipolo;1220,61;1430,17;17,88;9,78
TRE02;DipoloDipolo;1226,36;1437,96;18,02;9,77
TRE02;DipoloDipolo;1232,11;1445,74;17,96;10,07
TRE02;DipoloDipolo;1237,85;1453,53;17,71;12,2
TRE02;DipoloDipolo;1243,6;1461,32;17,37;16,97
TRE02;DipoloDipolo;1249,34;1469,11;17,01;18,07
TRE02;DipoloDipolo;1255,09;1476,9;16,76;18,08
TRE02;DipoloDipolo;1260,84;1484,68;16,47;17,46
TRE02;DipoloDipolo;1266,58;1492,47;16,0;15,64
TRE02;DipoloDipolo;1487,81;1792,31;31,19;6,4
TRE02;DipoloDipolo;1464,82;1761,16;24,03;10,16
TRE02;DipoloDipolo;1283,82;1515,84;15,68;8,75
TRE02;DipoloDipolo;1289,57;1523,62;15,96;7,97
TRE02;DipoloDipolo;1421,73;1702,75;23,8;8,74
TRE02;DipoloDipolo;1415,98;1694,96;23,74;8,66
TRE02;DipoloDipolo;1410,23;1687,17;23,8;8,51
TRE02;DipoloDipolo;1404,49;1679,38;24,14;8,32
TRE02;DipoloDipolo;1232,11;1445,74;26,28;6,46
TRE02;DipoloDipolo;1237,85;1453,53;25,9;8,28
TRE02;DipoloDipolo;1243,6;1461,32;25,44;16,3
TRE02;DipoloDipolo;1249,34;1469,11;24,98;17,59
TRE02;DipoloDipolo;1272,33;1500,26;15,64;13,37
TRE02;DipoloDipolo;1260,84;1484,68;24,31;14,46
TRE02;DipoloDipolo;1266,58;1492,47;23,75;11,62
TRE02;DipoloDipolo;1272,33;1500,26;23,31;10,34
TRE02;DipoloDipolo;1278,08;1508,05;23,2;9,15
TRE02;DipoloDipolo;1289,57;1523,62;23,68;7,54
TRE02;DipoloDipolo;1295,31;1531,41;23,81;7,55
TRE02;DipoloDipolo;1301,06;1539,2;23,72;8,57
TRE02;DipoloDipolo;1306,81;1546,99;23,71;9,66
TRE02;DipoloDipolo;1487,81;1792,31;37,52;5,53
TRE02;DipoloDipolo;1522,28;1839,04;48,7;6,63
TRE02;DipoloDipolo;1278,08;1508,05;15,54;10,81
TRE02;Gradiente;1209,12;1414,59;79,01;60,44
TRE02;DipoloDipolo;1214,87;1422,38;62,42;11,58
TRE02;Gradiente;1306,81;1546,99;46,66;13,29
TRE02;DipoloDipolo;1278,08;1508,05;-119,11;10,87
TRE02;DipoloDipolo;1341,28;1593,72;23,72;7,32
TRE02;DipoloDipolo;1347,03;1601,5;23,75;6,86
TRE02;DipoloDipolo;1352,77;1609,29;23,79;6,5
TRE02;DipoloDipolo;1358,52;1617,08;23,85;6,56
TRE02;DipoloDipolo;1364,27;1624,87;23,84;6,62
TRE02;DipoloDipolo;1370,01;1632,66;23,85;7,23
TRE02;DipoloDipolo;1375,76;1640,44;23,85;7,84
TRE02;DipoloDipolo;1381,5;1648,23;23,9;7,86
TRE02;DipoloDipolo;1393,0;1663,81;24,28;7,86
TRE02;DipoloDipolo;1226,36;1437,96;48,62;5,44
TRE02;DipoloDipolo;1398,74;1671,6;24,34;8,06
TRE02;DipoloDipolo;1318,3;1562,56;23,86;9,53
TRE02;DipoloDipolo;1324,04;1570,35;48,12;4,78
TRE02;DipoloDipolo;1476,31;1776,73;37,44;5,94
TRE02;DipoloDipolo;1453,33;1745,58;37,25;6,46
TRE02;DipoloDipolo;1203,38;1406,8;48,94;6,77
TRE02;DipoloDipolo;1209,12;1414,59;49,01;6,8
TRE02;DipoloDipolo;1214,87;1422,38;49,04;6,99
TRE02;DipoloDipolo;1387,25;1656,02;24,07;7,83
TRE02;DipoloDipolo;1370,01;1632,66;42,99;5,91
TRE02;DipoloDipolo;1232,11;1445,74;47,78;3,86
TRE02;DipoloDipolo;1243,6;1461,32;45,9;15,49
TRE02;DipoloDipolo;1249,34;1469,11;45,06;11,89
TRE02;DipoloDipolo;1255,09;1476,9;44,51;11,83
TRE02;DipoloDipolo;1260,84;1484,68;43,94;3,34
TRE02;DipoloDipolo;1266,58;1492,47;43,06;3,39
TRE02;DipoloDipolo;1272,33;1500,26;42,38;10,32
TRE02;DipoloDipolo;1278,08;1508,05;42,2;9,95
TRE02;DipoloDipolo;1283,82;1515,84;42,42;8,57
TRE02;DipoloDipolo;1289,57;1523,62;42,89;8,16
TRE02;DipoloDipolo;1295,31;1531,41;43,08;8,08
TRE02;DipoloDipolo;1220,61;1430,17;48,99;6,35
TRE02;DipoloDipolo;1312,55;1554,78;43,15;18,2
TRE02;DipoloDipolo;1318,3;1562,56;43,11;17,03
TRE02;DipoloDipolo;1324,04;1570,35;42,86;6,3
TRE02;DipoloDipolo;1329,79;1578,14;42,84;4,78
TRE02;DipoloDipolo;1335,54;1585,93;42,82;7,24
TRE02;DipoloDipolo;1341,28;1593,72;42,85;7,57
TRE02;DipoloDipolo;1347,03;1601,5;42,87;7,33
TRE02;DipoloDipolo;1352,77;1609,29;42,92;5,58
TRE02;DipoloDipolo;1358,52;1617,08;43,0;5,45
TRE02;DipoloDipolo;1364,27;1624,87;42,98;5,54
TRE02;DipoloDipolo;1237,85;1453,53;46,81;2,9
TRE02;DipoloDipolo;1197,63;1399,02;48,89;6,65
TRE02;DipoloDipolo;1189,01;1387,33;48,77;6,23
TRE02;DipoloDipolo;1335,54;1585,93;37,05;7,08
TRE02;DipoloDipolo;1387,25;1656,02;48,56;6,51
TRE02;DipoloDipolo;1335,54;1585,93;48,08;6,75
TRE02;DipoloDipolo;1341,28;1593,72;48,11;7,61
TRE02;DipoloDipolo;1347,03;1601,5;48,13;7,53
TRE02;DipoloDipolo;1352,77;1609,29;48,18;6,07
TRE02;DipoloDipolo;1358,52;1617,08;48,26;6,08
TRE02;DipoloDipolo;1364,27;1624,87;48,23;6,16
TRE02;DipoloDipolo;1370,01;1632,66;48,24;6,01
TRE02;DipoloDipolo;1375,76;1640,44;48,22;6,56
TRE02;DipoloDipolo;1166,03;1356,18;47,77;8,51
TRE02;DipoloDipolo;1381,5;1648,23;48,28;7,42
TRE02;DipoloDipolo;1476,31;1776,73;48,42;5,87
TRE02;DipoloDipolo;1398,74;1671,6;48,98;6,08
TRE02;DipoloDipolo;1404,49;1679,38;48,62;6,0
TRE02;DipoloDipolo;1410,23;1687,17;48,04;6,23
TRE02;DipoloDipolo;1415,98;1694,96;47,93;6,54
TRE02;DipoloDipolo;1421,73;1702,75;48,01;6,51
TRE02;DipoloDipolo;1430,35;1714,43;48,22;6,82
TRE02;DipoloDipolo;1441,84;1730,01;48,37;6,93
TRE02;DipoloDipolo;1453,33;1745,58;48,2;5,92
TRE02;DipoloDipolo;1393,0;1663,81;48,89;6,12
TRE02;DipoloDipolo;1301,06;1539,2;42,93;9,96
TRE02;DipoloDipolo;1487,81;1792,31;48,51;5,34
TRE02;DipoloDipolo;1329,79;1578,14;37,06;6,66
TRE02;DipoloDipolo;1272,33;1500,26;36,63;9,55
TRE02;Gradiente;1143,04;1325,03;35,03;8,54
TRE02;DipoloDipolo;1120,06;1293,88;48,56;7,85
TRE02;DipoloDipolo;1131,55;1309,45;48,56;7,56
TRE02;DipoloDipolo;1143,04;1325,03;47,69;5,79
TRE02;DipoloDipolo;1154,53;1340,6;47,16;6,6
TRE02;DipoloDipolo;1177,52;1371,76;48,39;7,13
TRE02;DipoloDipolo;1375,76;1640,44;42,97;6,36
TRE02;DipoloDipolo;1381,5;1648,23;43,03;6,68
TRE02;DipoloDipolo;1510,79;1823,46;48,69;6,36
TRE02;DipoloDipolo;1387,25;1656,02;43,28;6,47
TRE02;DipoloDipolo;1499,3;1807,89;48,65;6,35
TRE02;DipoloDipolo;1283,82;1515,84;36,67;8,61
TRE02;DipoloDipolo;1289,57;1523,62;37,08;8,29
TRE02;DipoloDipolo;1295,31;1531,41;37,25;8,28
TRE02;DipoloDipolo;1301,06;1539,2;37,12;9,77
TRE02;DipoloDipolo;1306,81;1546,99;37,11;12,87
TRE02;DipoloDipolo;1312,55;1554,78;37,32;12,14
TRE02;DipoloDipolo;1318,3;1562,56;37,29;12,71
TRE02;DipoloDipolo;1324,04;1570,35;37,07;7,48
TRE02;DipoloDipolo;1278,08;1508,05;36,47;9,73
TRE02;DipoloDipolo;1341,28;1593,72;-11,98;14,85
TRE02;DipoloDipolo;1341,28;1593,72;37,07;7,57
TRE02;DipoloDipolo;1352,77;1609,29;37,14;5,35
TRE02;DipoloDipolo;1358,52;1617,08;37,21;5,23
TRE02;DipoloDipolo;1364,27;1624,87;37,2;5,28
TRE02;DipoloDipolo;1370,01;1632,66;37,21;5,78
TRE02;DipoloDipolo;1375,76;1640,44;37,2;6,4
TRE02;DipoloDipolo;1381,5;1648,23;37,25;6,63
TRE02;DipoloDipolo;1387,25;1656,02;37,47;6,51
TRE02;DipoloDipolo;1393,0;1663,81;37,74;6,41
TRE02;DipoloDipolo;1398,74;1671,6;37,81;6,51
TRE02;DipoloDipolo;1404,49;1679,38;37,53;6,88
TRE02;DipoloDipolo;1410,23;1687,17;37,08;7,14
TRE02;DipoloDipolo;1415,98;1694,96;37,0;7,15
TRE02;DipoloDipolo;1421,73;1702,75;37,07;7,13
TRE02;DipoloDipolo;1430,35;1714,43;37,24;7,16
TRE02;DipoloDipolo;1441,84;1730,01;37,38;7,17
TRE02;DipoloDipolo;1266,58;1492,47;37,22;4,74
TRE02;DipoloDipolo;1260,84;1484,68;37,98;4,82
TRE02;DipoloDipolo;1255,09;1476,9;38,48;13,84
TRE02;DipoloDipolo;1249,34;1469,11;38,95;14,24
TRE02;DipoloDipolo;1393,0;1663,81;43,58;6,21
TRE02;DipoloDipolo;1398,74;1671,6;43,66;6,24
TRE02;DipoloDipolo;1404,49;1679,38;43,34;6,43
TRE02;DipoloDipolo;1226,36;1437,96;41,71;4,33
TRE02;DipoloDipolo;1232,11;1445,74;41,14;3,43
TRE02;DipoloDipolo;1421,73;1702,75;42,8;6,66
TRE02;DipoloDipolo;1430,35;1714,43;43,0;6,84
TRE02;DipoloDipolo;1441,84;1730,01;43,14;6,89
TRE02;DipoloDipolo;1453,33;1745,58;42,99;5,9
TRE02;DipoloDipolo;1464,82;1761,16;43,05;5,8
TRE02;DipoloDipolo;1476,31;1776,73;43,19;5,84
TRE02;DipoloDipolo;1487,81;1792,31;43,28;5,37
TRE02;DipoloDipolo;1499,3;1807,89;43,41;6,13
TRE02;DipoloDipolo;1510,79;1823,46;43,45;6,36
TRE02;DipoloDipolo;1464,82;1761,16;37,31;6,14
TRE02;DipoloDipolo;1410,23;1687,17;42,82;6,7
TRE02;DipoloDipolo;1143,04;1325,03;40,94;8,28
TRE02;DipoloDipolo;1154,53;1340,6;40,59;8,4
TRE02;DipoloDipolo;1166,03;1356,18;41,06;8,95
TRE02;DipoloDipolo;1177,52;1371,76;41,5;7,38
TRE02;DipoloDipolo;1189,01;1387,33;41,72;6,27
TRE02;DipoloDipolo;1197,63;1399,02;41,8;6,54
TRE02;DipoloDipolo;1203,38;1406,8;41,82;6,59
TRE02;DipoloDipolo;1209,12;1414,59;41,84;6,71
TRE02;DipoloDipolo;1214,87;1422,38;41,86;6,35
TRE02;DipoloDipolo;1220,61;1430,17;41,88;5,88
TRE02;DipoloDipolo;1415,98;1694,96;42,73;6,68
TRE02;DipoloDipolo;1464,82;1761,16;48,27;5,78
TRE02;DipoloDipolo;1237,85;1453,53;40,39;3,14
TRE02;DipoloDipolo;1415,98;1694,96;-1,6;10,94
TRE02;DipoloDipolo;1131,55;1309,45;41,47;9,35
TRE02;Gradiente;1499,3;1807,89;40,18;6,51
TRE02;DipoloDipolo;1226,36;1437,96;26,46;6,57
TRE02;Gradiente;1476,31;1776,73;39,96;6,53
TRE02;DipoloDipolo;1226,36;1437,96;-11,52;17,1
TRE02;DipoloDipolo;1232,11;1445,74;-11,42;17,17
TRE02;DipoloDipolo;1237,85;1453,53;-11,43;17,28
TRE02;DipoloDipolo;1243,6;1461,32;-11,53;17,46
TRE02;DipoloDipolo;1249,34;1469,11;-11,67;17,7
TRE02;DipoloDipolo;1255,09;1476,9;-11,77;17,77
TRE02;DipoloDipolo;1260,84;1484,68;-11,9;17,76
TRE02;DipoloDipolo;1266,58;1492,47;-12,14;17,62
TRE02;DipoloDipolo;1272,33;1500,26;-12,33;17,17
TRE02;DipoloDipolo;1278,08;1508,05;-12,37;16,66
TRE02;DipoloDipolo;1283,82;1515,84;-12,28;16,2
TRE02;DipoloDipolo;1289,57;1523,62;-12,12;15,86
TRE02;DipoloDipolo;1295,31;1531,41;-12,04;15,51
TRE02;DipoloDipolo;1301,06;1539,2;-12,07;15,17
TRE02;DipoloDipolo;1306,81;1546,99;-12,06;15,02
TRE02;DipoloDipolo;1312,55;1554,78;-11,97;14,97
TRE02;DipoloDipolo;1318,3;1562,56;-11,96;14,94
TRE02;DipoloDipolo;1347,03;1601,5;37,1;7,1
TRE02;DipoloDipolo;1243,6;1461,32;39,65;15,36
TRE02;DipoloDipolo;1214,87;1422,38;-11,78;17,26
TRE02;DipoloDipolo;1203,38;1406,8;-11,78;17,96
TRE02;DipoloDipolo;1370,01;1632,66;-1,61;13,6
TRE02;DipoloDipolo;1375,76;1640,44;-1,6;13,52
TRE02;DipoloDipolo;1381,5;1648,23;-1,56;13,24
TRE02;DipoloDipolo;1387,25;1656,02;-1,45;12,76
TRE02;DipoloDipolo;1393,0;1663,81;-1,32;12,18
TRE02;DipoloDipolo;1398,74;1671,6;-1,28;11,57
TRE02;DipoloDipolo;1404,49;1679,38;-1,38;11,21
TRE02;DipoloDipolo;1410,23;1687,17;-1,57;10,99
TRE02;DipoloDipolo;1220,61;1430,17;-11,69;17,11
TRE02;DipoloDipolo;1421,73;1702,75;-1,55;10,95
TRE02;DipoloDipolo;1430,35;1714,43;-1,45;11,0
TRE02;DipoloDipolo;1441,84;1730,01;-1,36;11,13
TRE02;DipoloDipolo;1453,33;1745,58;-1,4;11,16
